iter	Passed	Remaining
594	17012	11580
595	17042	11552
596	17072	11524
597	17103	11497
598	17133	11469
599	17163	11442
600	17195	11416
601	17225	11388
602	17255	11360
603	17286	11333
604	17317	11306
605	17346	11277
606	17377	11250
607	17407	11223
608	17436	11194
609	17466	11167
610	17497	11139
611	17526	11111
612	17557	11084
613	17588	11057
614	17618	11029
615	17648	11001
616	17678	10973
617	17708	10946
618	17736	10917
619	17766	10889
620	17797	10861
621	17826	10833
622	17865	10810
623	17896	10783
624	17927	10756
625	17958	10728
626	17987	10700
627	18018	10673
628	18046	10644
629	18074	10615
630	18105	10587
631	18136	10560
632	18166	10532
633	18197	10505
634	18227	10477
635	18257	10449
636	18294	10425
637	18323	10396
638	18352	10368
639	18383	10340
640	18415	10313
641	18446	10286
642	18474	10257
643	18504	10229
644	18533	10200
645	18564	10173
646	18595	10145
647	18626	10117
648	18654	10089
649	18684	10060
650	18714	10032
651	18743	10004
652	18775	9976
653	18804	9948
654	18834	9920
655	18864	9892
656	18894	9864
657	18922	9835
658	18952	9807
659	18983	9779
660	19013	9751
661	19043	9723
662	19073	9695
663	19104	9667
664	19133	9638
665	19163	9610
666	19193	9582
667	19222	9553
668	19253	9525
669	19282	9497
670	19312	9469
671	19341	9440
672	19373	9413
673	19403	9384
674	19432	9356
675	19462	9328
676	19490	9299
677	19520	9270
678	19550	9242
679	19579	9213
680	19608	9185
681	19638	9157
682	19672	9130
683	19701	9101
684	19732	9074
685	19761	9045
686	19792	9017
687	19823	8989
688	19852	8960
689	19882	8932
690	19913	8904
691	19942	8876
692	19972	8848
693	20002	8819
694	20032	8791
695	20063	8763
696	20102	8738
697	20132	8710
698	20161	8682
699	20191	8653
700	20221	8625
701	20253	8597
702	20283	8569
703	20311	8540
704	20341	8511
705	20371	8483
706	20401	8454
707	20430	8426
708	20460	8397
709	20489	8369
710	20520	8340
711	20550	8312
712	20580	8284
713	20610	8255
714	20641	8227
715	20671	8199
716	20702	8171
717	20730	8142
718	20761	8113
719	20792	8085
720	20821	8057
721	20851	8028
722	20881	8000
723	20911	7971
724	20941	7943
725	20970	7914
726	21000	7885
727	21028	7856
728	21057	7828
729	21087	7799
730	21116	7770
731	21145	7741
732	21173	7712
733	21204	7684
734	21234	7655
735	21263	7627
736	21294	7599
737	21324	7570
738	21353	7541
739	21382	7512
740	21411	7484
741	21441	7455
742	21471	7426
743	21501	7398
744	21531	7369
745	21561	7341
746	21591	7312
747	21621	7284
748	21650	7255
749	21680	7226
750	21710	7198
751	21740	7169
752	21770	7141
753	21798	7111
754	21826	7082
755	21855	7053
756	21885	7025
757	21914	6996
758	21943	6967
759	21973	6939
760	22003	6910
761	22055	6888
762	22086	6860
763	22117	6832
764	22148	6803
765	22179	6775
766	22210	6747
767	22239	6718
768	22268	6689
769	22298	6660
770	22328	6631
771	22357	6603
772	22387	6574
773	22417	6545
774	22447	6517
775	22477	6488
776	22506	6459
777	22535	6430
778	22564	6401
779	22594	6372
780	22624	6344
781	22654	6315
782	22686	6287
783	22717	6258
784	22746	6229
785	22774	6200
786	22804	6171
787	22833	6143
788	22863	6114
789	22891	6085
790	22921	6056
791	22950	6027
792	22980	5998
793	23010	5970
794	23040	5941
795	23069	5912
796	23099	5883
797	23128	5854
798	23159	5825
799	23188	5797
800	23216	5767
801	23247	5739
802	23277	5710
803	23305	5681
804	23334	5652
805	23364	5623
806	23392	5594
807	23423	5565
808	23452	5536
809	23481	5508
810	23512	5479
811	23542	5450
812	23571	5421
813	23602	5393
814	23632	5364
815	23661	5335
816	23692	5306
817	23722	5278
818	23753	5249
819	23783	5220
820	23812	5191
821	23844	5163
822	23874	5134
823	23904	5105
824	23932	5076
825	23963	5047
826	23993	5019
827	24023	4990
828	24053	4961
829	24081	4932
830	24110	4903
831	24140	4874
832	24170	4845
833	24201	4816
834	24229	4787
835	24271	4761
836	24301	4732
837	24331	4703
838	24361	4674
839	24391	4646
840	24421	4617
841	24451	4588
842	24481	4559
843	24512	4530
844	24542	4501
845	24572	4473
846	24602	4444
847	24633	4415
848	24662	4386
849	24692	4357
850	24723	4328
851	24753	4299
852	24783	4270
853	24813	4242
854	24842	4213
855	24873	4184
856	24903	4155
857	24934	4126
858	24964	4097
859	24993	4068
860	25023	4039
861	25051	4010
862	25082	3981
863	25111	3952
864	25140	3923
865	25168	3894
866	25199	3865
867	25230	3836
868	25259	3807
869	25290	3778
870	25320	3750
871	25378	3725
872	25413	3697
873	25444	3668
874	25476	3639
875	25508	3610
876	25539	3581
877	25569	3552
878	25598	3523
879	25630	3495
880	25660	3466
881	25690	3437
882	25722	3408
883	25751	3379
884	25783	3350
885	25814	3321
886	25845	3292
887	25876	3263
888	25907	3234
889	25939	3206
890	25969	3176
891	25999	3147
892	26030	3119
893	26061	3090
894	26091	3061
895	26121	3031
896	26151	3002
897	26181	2973
898	26210	2944
899	26241	2915
900	26275	2887
901	26305	2858
902	26335	2828
903	26364	2799
904	26395	2770
905	26425	2741
906	26456	2712
907	26485	2683
908	26514	2654
909	26544	2625
910	26573	2596
911	26602	2566
912	26630	2537
913	26660	2508
914	26696	2480
915	26728	2451
916	26758	2422
917	26788	2392
918	26819	2363
919	26849	2334
920	26878	2305
921	26907	2276
922	26940	2247
923	26970	2218
924	27002	2189
925	27031	2160
926	27059	2130
927	27088	2101
928	27118	2072
929	27148	2043
930	27177	2014
931	27207	1985
932	27237	1955
933	27266	1926
934	27296	1897
935	27325	1868
936	27355	1839
937	27385	1810
938	27417	1781
939	27445	1751
940	27475	1722
941	27519	1694
942	27548	1665
943	27577	1635
944	27607	1606
945	27637	1577
946	27667	1548
947	27696	1519
948	27725	1489
949	27754	1460
950	27785	1431
951	27815	1402
952	27843	1373
953	27874	1344
954	27905	1314
955	27936	1285
956	27966	1256
957	27997	1227
958	28025	1198
959	28055	1168
960	28084	1139
961	28114	1110
962	28144	1081
963	28175	1052
964	28205	1023
965	28236	993
966	28264	964
967	28294	935
968	28324	906
969	28356	877
970	28385	847
971	28414	818
972	28444	789
973	28477	760
974	28509	731
975	28539	701
976	28567	672
977	28598	643
978	28628	614
979	28658	584
980	28688	555
981	28717	526
982	28748	497
983	28778	467
984	28807	438
985	28837	409
986	28867	380
987	28896	350
988	28926	321
989	28955	292
990	28986	263
991	29014	233
992	29045	204
993	29083	175
994	29113	146
995	29143	117
996	29175	87
997	29207	58
998	29237	29
999	29267	0
